City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,vredendal,-31.6683,18.5012,17.05000000000001,41,32,5.03,ZA,1712893116
172,carora,10.1755,-70.0827,25.060000000000002,59,3,5.73,VE,1712893116
173,makurdi,7.7411,8.5121,28.210000000000036,73,100,3.28,NG,1712893116
174,katsuren-haebaru,26.3369,127.8719,26.010000000000048,65,40,5.14,JP,1712892869
175,oeiras,-7.0253,-42.1311,23.670000000000016,89,3,0.89,BR,1712893118
176,verkhnevilyuysk,63.4453,120.3167,-13.049999999999955,76,59,3.02,RU,1712893118
177,torghay,49.6339,63.4981,7.180000000000007,48,27,3.51,KZ,1712893118
178,oulad teima,30.3947,-9.209,15.600000000000023,18,30,3.72,MA,1712893118
179,mil'kovo,55.6078,37.7956,8.730000000000018,63,100,5.16,RU,1712893118
180,hamilton,39.1834,-84.5333,11.689999999999998,82,100,10.28,US,1712892780
181,stonehaven,56.9637,-2.2118,11.29000000000002,95,99,4.01,GB,1712893119
182,quelimane,-17.8786,36.8883,22.970000000000027,94,75,3.77,MZ,1712893119
183,bandar-e genaveh,29.5791,50.517,20.010000000000048,53,0,3.1,IR,1712893119
184,wendo,6.6,38.4167,15.420000000000016,86,91,1.75,ET,1712893119
185,cabo san lucas,22.8909,-109.9124,22.640000000000043,51,75,3.09,MX,1712892928
186,luanda,-8.8368,13.2343,26.0,87,20,2.06,AO,1712892985
187,fuling,29.7022,107.3919,24.390000000000043,63,24,1.32,CN,1712893120
188,aasiaat,68.7098,-52.8699,-8.069999999999993,97,100,2.98,GL,1712893120
189,chuhar jamali,24.3895,67.9923,30.05000000000001,40,0,3.61,PK,1712893120
190,ajaccio,42.0,8.9167,11.03000000000003,76,0,3.6,FR,1712893120
191,crescent city,41.756,-124.2018,9.710000000000036,88,20,1.54,US,1712893121
192,balkanabat,39.5108,54.3671,14.189999999999998,86,91,3.61,TM,1712893094
193,bandar lampung,-5.4254,105.258,23.54000000000002,96,94,3.92,ID,1712893121
194,prado,-17.3411,-39.2208,25.32000000000005,86,15,2.54,BR,1712893121
195,acarau,-2.8856,-40.12,26.27000000000004,87,100,1.96,BR,1712893071
196,tokar,18.4254,37.729,24.470000000000027,62,6,2.98,SD,1712893122
197,lake worth,26.6159,-80.057,25.010000000000048,83,100,5.66,US,1712893122
198,wladyslawowo,54.7909,18.4009,12.189999999999998,92,100,6.9,PL,1712893122
199,gijang,35.2442,129.2139,20.850000000000023,64,100,3.19,KR,1712893122
200,lerma,42.0261,-3.7598,6.310000000000002,80,54,1.7,ES,1712893123
201,mili,6.0815,171.735,26.720000000000027,87,100,7.27,MH,1712892842
202,gangarampur,25.4,88.5167,34.370000000000005,22,20,2.7,IN,1712893123
203,new norfolk,-42.7826,147.0587,18.720000000000027,82,100,1.32,AU,1712893123
